brand,model,motor,year,mileage,fuel,type,price
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,44626,Diesel,Manuelle,44626
RENAULT,CAPTUR phase 2,1.5 DCI 90 INTENS,2016,50287,Diesel,Manuelle,50287
RENAULT,CLIO IV phase 2,1.5 DCI 90 BUSINESS,2017,93738,Diesel,Manuelle,93738
RENAULT,KANGOO II phase 2,1.5 DCI 75 ZEN,2017,68724,Diesel,Manuelle,68724
RENAULT,CLIO IV,1.5 DCI 75 ZEN,2017,91268,Diesel,Manuelle,91268
RENAULT,KADJAR,1.5 DCI 110 BUSINESS,2016,92685,Diesel,Manuelle,92685
RENAULT,GRAND SCENIC III phase 3,1.5 DCI 110 BUSINESS,2017,86152,Diesel,Automatique,86152
RENAULT,TRAFIC III,1.6 DCI 90 CONFORT,2016,107482,Diesel,Manuelle,107482
RENAULT,SCENIC III phase 3,1.5 DCI 110 BUSINESS,2017,90739,Diesel,Manuelle,90739
RENAULT,CLIO IV phase 2,1.5 DCI 110 INTENS,2017,96647,Diesel,Manuelle,96647
RENAULT,SCENIC III phase 3,1.6 DCI 130 BOSE EDITION,2017,104170,Diesel,Manuelle,104170
RENAULT,CLIO IV phase 2,1.5 DCI 110 INTENS,2017,92119,Diesel,Manuelle,92119
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2016,85287,Diesel,Manuelle,85287
RENAULT,KANGOO II EXPRESS phase 2,1.5 DCI 90 SERIE SPECIALE EXTRA RLINK,2017,104593,Diesel,Manuelle,104593
RENAULT,MEGANE III COUPE phase 3,2.0 DCI 165 GT,2016,94160,Diesel,Manuelle,94160
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2015,43923,Diesel,Manuelle,43923
RENAULT,KANGOO II EXPRESS phase 2,1.5 DCI 75 GRAND CONFORT,2016,101843,Diesel,Manuelle,101843
RENAULT,GRAND SCENIC III phase 3,1.5 DCI 110 BUSINESS,2017,111958,Diesel,Manuelle,111958
RENAULT,KOLEOS phase 2,2.0 DCI 175 BOSE EDITION,2016,59920,Diesel,Manuelle,59920
RENAULT,CAPTUR,1.5 DCI 110 HYPNOTIC,2016,80651,Diesel,Manuelle,80651
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2017,78983,Diesel,Manuelle,78983
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,48388,Diesel,Manuelle,48388
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,102060,Diesel,Manuelle,102060
RENAULT,SCENIC III phase 3,1.5 DCI 110 BOSE,2017,90524,Diesel,Manuelle,90524
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,87840,Diesel,Manuelle,87840
RENAULT,CLIO IV,1.5 DCI 75 BUSINESS,2017,110946,Diesel,Manuelle,110946
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,62700,Diesel,Manuelle,62700
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2017,108782,Diesel,Manuelle,108782
RENAULT,MEGANE IV,1.5 DCI 110 BUSINESS,2017,88345,Diesel,Manuelle,88345
RENAULT,TRAFIC III,1.6 DCI 115 CONFORT,2016,57500,Diesel,Manuelle,57500
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,58213,Diesel,Manuelle,58213
RENAULT,CAPTUR,1.5 DCI 110 HELLY HANSEN,2017,90210,Diesel,Manuelle,90210
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,91317,Diesel,Manuelle,91317
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,91114,Diesel,Manuelle,91114
RENAULT,GRAND SCENIC III phase 2,1.6 DCI 130 BOSE EDITION,2016,88510,Diesel,Manuelle,88510
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,75659,Diesel,Manuelle,75659
RENAULT,KANGOO II phase 2,1.5 DCI 75 ZEN,2017,85470,Diesel,Manuelle,85470
RENAULT,ESPACE V,1.6 DCI 130 ENERGY LIFE,2017,110880,Diesel,Manuelle,110880
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,65409,Diesel,Manuelle,65409
RENAULT,KANGOO II EXPRESS,1.5 DCI 75 GRAND CONFORT,2015,82962,Diesel,Manuelle,82962
RENAULT,MEGANE IV,1.5 DCI 110 BUSINESS,2017,93437,Diesel,Manuelle,93437
RENAULT,SCENIC III phase 2,1.5 DCI 110 LOUNGE,2015,98670,Diesel,Manuelle,98670
RENAULT,MEGANE IV ESTATE,1.5 DCI 110 INTENS,2017,61218,Diesel,Automatique,61218
RENAULT,SCENIC III phase 3,1.6 DCI 130 BOSE EDITION,2017,75541,Diesel,Manuelle,75541
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,77518,Diesel,Manuelle,77518
RENAULT,KADJAR,1.5 DCI 110 INTENS,2017,83222,Diesel,Manuelle,83222
RENAULT,CLIO IV,1.5 DCI 75 BUSINESS,2016,77644,Diesel,Manuelle,77644
RENAULT,MEGANE IV ESTATE,1.6 DCI 130 INTENS,2017,87120,Diesel,Manuelle,87120
RENAULT,KADJAR,1.5 DCI 110 INTENS,2016,118568,Diesel,Automatique,118568
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,86494,Diesel,Manuelle,86494
RENAULT,KADJAR,1.5 DCI 110 INTENS,2017,86595,Diesel,Manuelle,86595
RENAULT,SCENIC IV,1.5 DCI 110 INTENS,2017,79288,Diesel,Automatique,79288
RENAULT,KADJAR,1.5 DCI 110 INTENS,2017,92353,Diesel,Automatique,92353
RENAULT,MEGANE IV ESTATE,1.5 DCI 110 BUSINESS,2017,79213,Diesel,Automatique,79213
RENAULT,CLIO IV,1.5 DCI 75 INTENS,2017,107025,Diesel,Manuelle,107025
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2017,35802,Diesel,Automatique,35802
RENAULT,MEGANE IV,1.5 DCI 110 BUSINESS,2017,97345,Diesel,Automatique,97345
RENAULT,CLIO IV phase 2,1.5 DCI 110 INTENS,2017,62165,Diesel,Manuelle,62165
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,64232,Diesel,Manuelle,64232
RENAULT,SCENIC III phase 3,1.5 DCI 110 BUSINESS,2015,76930,Diesel,Manuelle,76930
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,122244,Diesel,Manuelle,122244
RENAULT,SCENIC III phase 3,1.5 DCI 110 LIMITED,2017,74169,Diesel,Manuelle,74169
RENAULT,CLIO IV ESTATE,1.5 DCI 90 INTENS,2017,88890,Diesel,Manuelle,88890
RENAULT,MEGANE IV ESTATE,1.6 DCI 130 INTENS,2017,78032,Diesel,Manuelle,78032
RENAULT,MEGANE IV,1.5 DCI 110 INTENS,2017,108073,Diesel,Manuelle,108073
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2017,65340,Diesel,Manuelle,65340
RENAULT,SCENIC IV,1.6 DCI 130 INTENS,2017,86065,Diesel,Manuelle,86065
RENAULT,KANGOO II phase 2,1.5 DCI 75 LIFE,2017,121938,Diesel,Manuelle,121938
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,49375,Diesel,Manuelle,49375
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,66331,Diesel,Manuelle,66331
RENAULT,KOLEOS phase 2,2.0 DCI 175 INTENS,2016,94155,Diesel,Automatique,94155
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,113194,Diesel,Manuelle,113194
RENAULT,SCENIC III phase 3,1.5 DCI 110 BOSE,2015,92300,Diesel,Manuelle,92300
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2016,63600,Diesel,Manuelle,63600
RENAULT,KANGOO II EXPRESS phase 2,1.5 DCI 75 R-LINK,2015,17384,Diesel,Manuelle,17384
RENAULT,MEGANE IV,1.5 DCI 110 INTENS,2017,58830,Diesel,Manuelle,58830
RENAULT,TALISMAN ESTATE,1.5 DCI 110 BUSINESS,2017,76035,Diesel,Automatique,76035
RENAULT,SCENIC III phase 3,1.5 DCI 110 BOSE EDITION,2017,97075,Diesel,Automatique,97075
RENAULT,KANGOO II phase 2,1.5 DCI 90 PEPITE,2017,33395,Diesel,Manuelle,33395
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,74132,Diesel,Manuelle,74132
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2016,100317,Diesel,Manuelle,100317
RENAULT,MEGANE IV,1.5 DCI 110 ZEN,2016,47960,Diesel,Manuelle,47960
