brand,model,motor,year,mileage,fuel,type,price
RENAULT,MEGANE IV,1.6 DCI 130 INTENS,2017,90596,Diesel,Manuelle,17540
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,83588,Diesel,Manuelle,15800
RENAULT,SCENIC III phase 3,1.6 DCI 130 BOSE EDITION,2017,104170,Diesel,Manuelle,17710
RENAULT,TALISMAN,1.6 DCI 130 INTENS,2017,82634,Diesel,Manuelle,16730
RENAULT,CLIO IV,1.5 DCI 75 BUSINESS,2017,74628,Diesel,Manuelle,14240
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2016,85287,Diesel,Manuelle,11760
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2017,41800,Diesel,Manuelle,14170
RENAULT,TRAFIC III,1.6 DCI 90 CONFORT,2016,107482,Diesel,Manuelle,17690
RENAULT,KANGOO II EXPRESS phase 2,1.5 DCI 90 SERIE SPECIALE EXTRA RLINK,2017,104593,Diesel,Manuelle,11650
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,103955,Diesel,Manuelle,18130
RENAULT,CAPTUR,1.5 DCI 110 ZEN,2016,97590,Diesel,Manuelle,13300
RENAULT,KANGOO II EXPRESS phase 2,1.5 DCI 75 CONFORT,2015,67397,Diesel,Manuelle,17080
RENAULT,GRAND SCENIC III phase 3,1.5 DCI 110 BUSINESS,2017,86152,Diesel,Automatique,18220
RENAULT,KANGOO II phase 2,1.5 DCI 75 ZEN,2017,68724,Diesel,Manuelle,15940
RENAULT,CLIO IV,1.5 DCI 75 ZEN,2017,91268,Diesel,Manuelle,12160
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2016,94958,Diesel,Manuelle,14020
RENAULT,KOLEOS phase 2,2.0 DCI 175 BOSE EDITION,2016,59920,Diesel,Manuelle,16360
RENAULT,KANGOO II EXPRESS phase 2,1.5 DCI 75 GRAND CONFORT,2016,101843,Diesel,Manuelle,13180
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2015,43923,Diesel,Manuelle,15600
RENAULT,MEGANE III COUPE phase 3,2.0 DCI 165 GT,2016,94160,Diesel,Manuelle,14960
RENAULT,GRAND SCENIC III phase 3,1.5 DCI 110 BUSINESS,2017,111958,Diesel,Manuelle,17590
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,44626,Diesel,Manuelle,12710
RENAULT,CAPTUR,1.5 DCI 110 HYPNOTIC,2016,80651,Diesel,Manuelle,13890
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2017,108782,Diesel,Manuelle,11430
RENAULT,SCENIC III phase 3,1.5 DCI 110 BOSE,2017,90524,Diesel,Manuelle,12720
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,62700,Diesel,Manuelle,14800
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,48388,Diesel,Manuelle,13320
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,87840,Diesel,Manuelle,20130
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2017,78983,Diesel,Manuelle,13180
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,102060,Diesel,Manuelle,15100
RENAULT,CLIO IV,1.5 DCI 75 BUSINESS,2017,110946,Diesel,Manuelle,13510
RENAULT,TRAFIC III,1.6 DCI 115 CONFORT,2016,57500,Diesel,Manuelle,20620
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,91114,Diesel,Manuelle,16100
RENAULT,CAPTUR,1.5 DCI 110 HELLY HANSEN,2017,90210,Diesel,Manuelle,14160
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,91317,Diesel,Manuelle,11010
RENAULT,GRAND SCENIC III phase 2,1.6 DCI 130 BOSE EDITION,2016,88510,Diesel,Manuelle,13990
RENAULT,ESPACE V,1.6 DCI 130 ENERGY LIFE,2017,110880,Diesel,Manuelle,16570
RENAULT,MEGANE IV,1.5 DCI 110 BUSINESS,2017,93437,Diesel,Manuelle,14290
RENAULT,KANGOO II EXPRESS,1.5 DCI 75 GRAND CONFORT,2015,82962,Diesel,Manuelle,11770
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,75659,Diesel,Manuelle,14450
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,58213,Diesel,Manuelle,14540
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,65409,Diesel,Manuelle,15220
RENAULT,KANGOO II phase 2,1.5 DCI 75 ZEN,2017,85470,Diesel,Manuelle,12750
RENAULT,MEGANE IV,1.5 DCI 110 BUSINESS,2017,88345,Diesel,Manuelle,15840
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,86494,Diesel,Manuelle,18020
RENAULT,SCENIC IV,1.5 DCI 110 INTENS,2017,79288,Diesel,Automatique,16940
RENAULT,GRAND SCENIC III phase 3,1.6 DCI 130 BOSE EDITION,2017,107628,Diesel,Manuelle,15710
RENAULT,KADJAR,1.5 DCI 110 INTENS,2016,118568,Diesel,Automatique,18330
RENAULT,KADJAR,1.5 DCI 110 INTENS,2017,83222,Diesel,Manuelle,16410
RENAULT,SCENIC III phase 3,1.6 DCI 130 BOSE EDITION,2017,75541,Diesel,Manuelle,14480
RENAULT,MEGANE IV ESTATE,1.6 DCI 130 INTENS,2017,87120,Diesel,Manuelle,16200
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,77518,Diesel,Manuelle,17970
RENAULT,MEGANE IV ESTATE,1.5 DCI 110 INTENS,2017,61218,Diesel,Automatique,17210
RENAULT,SCENIC IV,1.6 DCI 130 INTENS,2017,86065,Diesel,Manuelle,18780
RENAULT,MEGANE IV,1.5 DCI 110 INTENS,2017,108073,Diesel,Manuelle,16080
RENAULT,MEGANE IV ESTATE,1.5 DCI 110 BUSINESS,2017,79213,Diesel,Automatique,17820
RENAULT,MEGANE IV,1.5 DCI 90 BUSINESS,2017,50286,Diesel,Manuelle,14820
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,113194,Diesel,Manuelle,17680
RENAULT,KOLEOS phase 2,2.0 DCI 175 INTENS,2016,94155,Diesel,Automatique,15580
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2017,35802,Diesel,Automatique,15310
RENAULT,CLIO IV ESTATE,1.5 DCI 90 INTENS,2017,88890,Diesel,Manuelle,12620
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,64232,Diesel,Manuelle,13990
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,122244,Diesel,Manuelle,17190
RENAULT,CAPTUR,1.5 DCI 90 INTENS,2017,65340,Diesel,Manuelle,16920
RENAULT,CLIO IV,1.5 DCI 75 INTENS,2017,107025,Diesel,Manuelle,11580
RENAULT,CLIO IV,1.5 DCI 90 BUSINESS,2017,49375,Diesel,Manuelle,13860
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,66331,Diesel,Manuelle,16590
RENAULT,MEGANE IV,1.5 DCI 110 BUSINESS,2017,97345,Diesel,Automatique,16450
RENAULT,SCENIC III phase 3,1.5 DCI 110 LIMITED,2017,74169,Diesel,Manuelle,12700
RENAULT,MEGANE IV ESTATE,1.6 DCI 130 INTENS,2017,78032,Diesel,Manuelle,17480
RENAULT,KANGOO II phase 2,1.5 DCI 75 LIFE,2017,121938,Diesel,Manuelle,13730
RENAULT,KADJAR,1.6 DCI 130 INTENS,2017,114000,Diesel,Manuelle,18730
RENAULT,KADJAR,1.5 DCI 110 INTENS,2017,92353,Diesel,Automatique,17520
RENAULT,SCENIC III phase 3,1.5 DCI 110 BUSINESS,2015,76930,Diesel,Manuelle,12820
RENAULT,MEGANE IV,1.5 DCI 110 ZEN,2016,47960,Diesel,Manuelle,14700
RENAULT,KANGOO II EXPRESS phase 2,1.5 DCI 75 R-LINK,2015,17384,Diesel,Manuelle,14150
RENAULT,TALISMAN ESTATE,1.5 DCI 110 BUSINESS,2017,76035,Diesel,Automatique,18300
RENAULT,MEGANE IV,1.5 DCI 110 INTENS,2017,58830,Diesel,Manuelle,16410
RENAULT,KANGOO II phase 2,1.5 DCI 90 PEPITE,2017,33395,Diesel,Manuelle,16260
RENAULT,SCENIC III phase 3,1.5 DCI 110 BOSE EDITION,2017,97075,Diesel,Automatique,16230
RENAULT,CAPTUR,1.5 DCI 90 BUSINESS,2016,63600,Diesel,Manuelle,13760
RENAULT,CAPTUR,1.5 DCI 110 INTENS,2017,74132,Diesel,Manuelle,15450
RENAULT,CLIO IV,1.5 DCI 90 INTENS,2016,100317,Diesel,Manuelle,13070
